,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
0,2020/05/03 6:49:52 am GMT+8,M,23,English,7.0,4.0,0.106993006993007,-0.16293706293706292,0.2699300699300699,4.75,4.0,-0.3616299132426734,0.16577906884359253,-0.527408982086266,1.0,1.0,3.0,1.0,1-2,2.0,5.0,Yes,Yes,Yes,No,Yes,No,2.0,3.0
1,2020/05/03 6:53:20 am GMT+8,M,22,English,5.0,4.0,0.006993006993007001,-0.16293706293706292,0.16993006993006993,3.75,1.0,-0.8100366028791245,-1.1595075243083233,0.3494709214291988,0.0,1.0,1.0,1.0,0,1.0,4.0,Yes,Yes,Yes,No,Yes,Yes,2.0,3.0
2,2020/05/03 3:53:12 pm GMT+8,F,22,English,7.0,9.0,0.106993006993007,0.08706293706293708,0.01993006993006992,7.75,0.75,0.98359015566668,-1.2699480737376496,2.2535382294043296,1.0,1.0,3.0,1.0,3-5,2.0,5.0,Yes,Yes,Yes,No,Yes,No,1.0,1.0
3,2020/05/03 7:35:55 pm GMT+8,M,28,English,4.0,8.0,-0.043006993006993,0.03706293706293708,-0.08006993006993007,4.5,3.75,-0.4737315856517862,0.055338519414266214,-0.5290701050660525,0.0,2.0,3.0,1.0,1-2,1.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,3.0
4,2020/05/03 8:38:20 pm GMT+8,M,32,English,5.0,13.0,0.006993006993007001,0.28706293706293706,-0.2800699300699301,5.75,5.0,0.0867767763937777,0.6075412665608978,-0.5207644901671201,2.0,1.0,3.0,1.0,0,1.0,5.0,No,No,No,No,Yes,No,1.0,3.0
5,2020/05/03 9:18:26 pm GMT+8,M,23,English,5.0,6.0,0.006993006993007001,-0.06293706293706292,0.06993006993006992,4.0,1.0,-0.6979349304700118,-1.1595075243083233,0.4615725938383115,2.0,1.0,1.0,1.0,1-2,1.0,4.0,No,No,No,Yes,Yes,No,1.0,2.0
6,2020/05/03 9:44:13 pm GMT+8,F,25,English,3.0,8.0,-0.093006993006993,0.03706293706293708,-0.1300699300699301,6.5,1.5,0.42308179362111603,-0.9386264254496706,1.3617082190707865,2.0,1.0,1.0,1.0,1-2,1.0,5.0,No,Yes,Yes,No,Yes,Yes,3.0,3.0
7,2020/05/03 10:01:38 pm GMT+8,M,48,English,3.0,5.0,-0.093006993006993,-0.11293706293706292,0.01993006993006992,5.75,7.75,0.0867767763937777,1.822387310283487,-1.7356105338897094,1.0,3.0,3.0,1.0,1-2,1.0,4.0,No,No,No,No,Yes,No,3.0,2.0
8,2020/05/03 11:30:39 pm GMT+8,F,20,English,5.0,14.0,0.006993006993007001,0.3370629370629371,-0.33006993006993013,7.25,5.25,0.7593868108484544,0.7179818159902241,0.04140499485823024,2.0,1.0,2.0,1.0,1-2,3.0,5.0,No,No,No,Yes,Yes,No,3.0,3.0
9,2020/05/04 12:24:21 am GMT+8,F,14,English,3.0,7.0,-0.093006993006993,-0.012937062937062916,-0.08006993006993009,5.75,3.75,0.0867767763937777,0.055338519414266214,0.03143825697951149,0.0,2.0,2.0,2.0,0,3.0,4.0,No,No,No,Yes,Yes,No,2.0,3.0
10,2020/05/04 12:52:11 am GMT+8,M,24,English,4.0,6.0,-0.043006993006993,-0.06293706293706292,0.01993006993006992,6.25,3.0,0.31098012121200325,-0.27598312887371274,0.586963250085716,1.0,2.0,2.0,1.0,1-2,2.0,4.0,Yes,Yes,Yes,No,Yes,No,3.0,3.0
11,2020/05/04 12:58:29 am GMT+8,F,22,English,2.0,7.0,-0.143006993006993,-0.012937062937062916,-0.13006993006993006,5.5,5.0,-0.025324896015335066,0.6075412665608978,-0.6328661625762328,2.0,1.0,1.0,1.0,0,3.0,5.0,No,Yes,Yes,Yes,Yes,Yes,1.0,1.0
