,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
0,2020/05/03 6:49:52 am GMT+8,M,23,English,8.0,11.0,-0.07132867132867134,0.2006993006993007,-0.272027972027972,4.75,4.0,-0.3616299132426734,0.16577906884359253,-0.527408982086266,2.0,1.0,3.0,1.0,1,2.0,5.0,Yes,Yes,Yes,No,Yes,No,2.0,3.0
1,2020/05/03 6:53:20 am GMT+8,M,22,English,7.0,4.0,-0.12132867132867134,-0.14930069930069928,0.02797202797202794,3.75,1.0,-0.8100366028791245,-1.1595075243083233,0.3494709214291988,3.0,1.0,1.0,1.0,0,1.0,4.0,Yes,Yes,Yes,No,Yes,Yes,2.0,3.0
2,2020/05/03 3:53:12 pm GMT+8,F,22,English,9.0,8.0,-0.021328671328671334,0.05069930069930071,-0.07202797202797204,7.75,0.75,0.98359015566668,-1.2699480737376496,2.2535382294043296,2.0,1.0,3.0,1.0,2,2.0,5.0,Yes,Yes,Yes,No,Yes,No,1.0,1.0
3,2020/05/03 7:35:55 pm GMT+8,M,28,English,6.0,10.0,-0.17132867132867133,0.1506993006993007,-0.32202797202797206,4.5,3.75,-0.4737315856517862,0.055338519414266214,-0.5290701050660525,3.0,2.0,3.0,1.0,1,1.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,3.0
4,2020/05/03 8:38:20 pm GMT+8,M,32,English,5.0,0.0,-0.22132867132867134,-0.3493006993006993,0.12797202797202795,5.75,5.0,0.0867767763937777,0.6075412665608978,-0.5207644901671201,1.0,1.0,3.0,1.0,0,1.0,5.0,No,No,No,No,Yes,No,1.0,3.0
5,2020/05/03 9:18:26 pm GMT+8,M,23,English,4.0,9.0,-0.27132867132867133,0.1006993006993007,-0.37202797202797205,4.0,1.0,-0.6979349304700118,-1.1595075243083233,0.4615725938383115,1.0,1.0,1.0,1.0,1,1.0,4.0,No,No,No,Yes,Yes,No,1.0,2.0
6,2020/05/03 9:44:13 pm GMT+8,F,25,English,11.0,8.0,0.07867132867132867,0.05069930069930071,0.02797202797202796,6.5,1.5,0.42308179362111603,-0.9386264254496706,1.3617082190707865,1.0,1.0,1.0,1.0,1,1.0,5.0,No,Yes,Yes,No,Yes,Yes,3.0,3.0
7,2020/05/03 10:01:38 pm GMT+8,M,48,English,15.0,10.0,0.27867132867132866,0.1506993006993007,0.12797202797202795,5.75,7.75,0.0867767763937777,1.822387310283487,-1.7356105338897094,2.0,3.0,3.0,1.0,1,1.0,4.0,No,No,No,No,Yes,No,3.0,2.0
8,2020/05/03 11:30:39 pm GMT+8,F,20,English,10.0,0.0,0.028671328671328666,-0.3493006993006993,0.37797202797202795,7.25,5.25,0.7593868108484544,0.7179818159902241,0.04140499485823024,1.0,1.0,2.0,1.0,1,3.0,5.0,No,No,No,Yes,Yes,No,3.0,3.0
9,2020/05/04 12:24:21 am GMT+8,F,14,English,16.0,11.0,0.32867132867132864,0.2006993006993007,0.12797202797202795,5.75,3.75,0.0867767763937777,0.055338519414266214,0.03143825697951149,3.0,2.0,2.0,2.0,0,3.0,4.0,No,No,No,Yes,Yes,No,2.0,3.0
10,2020/05/04 12:52:11 am GMT+8,M,24,English,15.0,12.0,0.27867132867132866,0.2506993006993007,0.02797202797202797,6.25,3.0,0.31098012121200325,-0.27598312887371274,0.586963250085716,2.0,2.0,2.0,1.0,1,2.0,4.0,Yes,Yes,Yes,No,Yes,No,3.0,3.0
11,2020/05/04 12:58:29 am GMT+8,F,22,English,13.0,11.0,0.17867132867132868,0.2006993006993007,-0.02202797202797202,5.5,5.0,-0.025324896015335066,0.6075412665608978,-0.6328661625762328,1.0,1.0,1.0,1.0,0,3.0,5.0,No,Yes,Yes,Yes,Yes,Yes,1.0,1.0
12,2020/05/04 1:04:59 am GMT+8,O,22,English,16.0,10.0,0.32867132867132864,0.1506993006993007,0.17797202797202794,6.25,7.5,0.31098012121200325,1.711946760854161,-1.4009666396421578,1.0,1.0,1.0,1.0,1,3.0,5.0,No,No,No,Yes,Yes,No,1.0,1.0
13,2020/05/04 1:23:32 am GMT+8,M,24,English,7.0,5.0,-0.12132867132867134,-0.09930069930069929,-0.022027972027972048,8.5,3.75,1.3198951728940183,0.055338519414266214,1.264556653479752,1.0,1.0,3.0,1.0,0,4.0,5.0,No,Yes,Yes,Yes,Yes,No,3.0,4.0
14,2020/05/04 1:26:22 am GMT+8,M,24,English,1.0,8.0,-0.42132867132867136,0.05069930069930071,-0.4720279720279721,6.5,3.5,0.42308179362111603,-0.055102030015060095,0.4781838236361761,1.0,2.0,2.0,2.0,1,2.0,5.0,No,No,No,Yes,Yes,No,1.0,3.0
15,2020/05/04 1:38:49 am GMT+8,M,27,English,9.0,12.0,-0.021328671328671334,0.2506993006993007,-0.272027972027972,5.75,4.5,0.0867767763937777,0.38666016770224515,-0.2998833913084674,1.0,2.0,1.0,2.0,0,3.0,5.0,No,No,No,No,Yes,No,1.0,1.0
16,2020/05/04 2:11:47 am GMT+8,M,22,English,8.0,5.0,-0.07132867132867134,-0.09930069930069929,0.027972027972027955,5.75,6.25,0.0867767763937777,1.1597440137075294,-1.0729672373137518,1.0,1.0,1.0,1.0,0,2.0,5.0,No,No,No,No,Yes,Yes,1.0,2.0
17,2020/05/04 2:18:49 am GMT+8,F,24,English,15.0,0.0,0.27867132867132866,-0.3493006993006993,0.627972027972028,7.25,3.5,0.7593868108484544,-0.055102030015060095,0.8144888408635145,3.0,1.0,3.0,1.0,1,1.0,4.0,No,No,No,Yes,Yes,Yes,1.0,1.0
18,2020/05/04 3:09:07 am GMT+8,F,24,English,12.0,10.0,0.12867132867132866,0.1506993006993007,-0.022027972027972048,8.0,5.0,1.0956918280757928,0.6075412665608978,0.488150561514895,2.0,2.0,2.0,1.0,0,2.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,3.0
19,2020/05/04 3:12:42 am GMT+8,F,37,English,9.0,3.0,-0.021328671328671334,-0.1993006993006993,0.17797202797202796,7.25,5.5,0.7593868108484544,0.8284223654195504,-0.069035554571096,2.0,2.0,3.0,1.0,0,2.0,4.0,No,Yes,Yes,Yes,Yes,No,1.0,1.0
20,2020/05/04 3:31:47 am GMT+8,F,24,English,12.0,9.0,0.12867132867132866,0.1006993006993007,0.027972027972027955,7.0,3.75,0.6472851384393415,0.055338519414266214,0.5919466190250753,2.0,2.0,1.0,1.0,0,3.0,5.0,Yes,Yes,Yes,No,Yes,No,1.0,1.0
21,2020/05/04 3:40:23 am GMT+8,F,22,English,5.0,5.0,-0.22132867132867134,-0.09930069930069929,-0.12202797202797205,9.0,7.75,1.5440985177122437,1.822387310283487,-0.2782887925712434,3.0,1.0,2.0,2.0,1,1.0,5.0,No,No,No,Yes,Yes,No,1.0,1.0
22,2020/05/04 3:51:26 am GMT+8,F,23,English,8.0,2.0,-0.07132867132867134,-0.24930069930069929,0.17797202797202794,7.0,3.75,0.6472851384393415,0.055338519414266214,0.5919466190250753,1.0,1.0,2.0,2.0,2,1.0,4.0,No,No,No,Yes,Yes,Yes,2.0,3.0
23,2020/05/04 4:54:44 am GMT+8,M,26,English,10.0,10.0,0.028671328671328666,0.1506993006993007,-0.12202797202797204,3.0,0.5,-1.146341620106463,-1.3803886231669757,0.23404700306051285,1.0,3.0,2.0,1.0,1,1.0,2.0,Yes,Yes,No,Yes,Yes,No,3.0,4.0
